schema_version,ts,timeframe,source,open,high,low,close,volume,received_at,close_confirmed_at,is_closed,quality_flags
1,2023-12-16T08:00:00Z,1h,coinbase-exchange:BTC-USD,42189.84,42225.66,42066.32,42137.29,151.01216175,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T09:00:00Z,1h,coinbase-exchange:BTC-USD,42137.29,42245.59,42137.29,42173.23,146.93593256,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T10:00:00Z,1h,coinbase-exchange:BTC-USD,42172.84,42224.85,42150.13,42220.43,152.20409517,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T11:00:00Z,1h,coinbase-exchange:BTC-USD,42220.43,42305.84,42180.04,42290.38,146.35575263,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T12:00:00Z,1h,coinbase-exchange:BTC-USD,42294.02,42453.24,42231.41,42388.79,228.0838047,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T13:00:00Z,1h,coinbase-exchange:BTC-USD,42388.78,42514.02,42218.65,42366.35,249.90390857,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T14:00:00Z,1h,coinbase-exchange:BTC-USD,42366.36,42433.88,42278.73,42332.99,160.46874768,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T15:00:00Z,1h,coinbase-exchange:BTC-USD,42330.31,42579.43,42274.44,42570,260.52102703,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T16:00:00Z,1h,coinbase-exchange:BTC-USD,42569.82,42680.2,42450,42561.04,375.3032995,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T17:00:00Z,1h,coinbase-exchange:BTC-USD,42562.71,42570.16,42440.64,42485.19,183.66352267,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T18:00:00Z,1h,coinbase-exchange:BTC-USD,42483.83,42490.92,42344.87,42445,225.68803501,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
1,2023-12-16T19:00:00Z,1h,coinbase-exchange:BTC-USD,42444.99,42500,42307.01,42327.38,210.62775563,2026-08-16T15:06:42.398207Z,2026-08-16T15:06:42.398207Z,true,
